ingresos,egresos,clase,consejo
550,2128,0,Situación crítica. Elabora un presupuesto mensual estricto.
1799,394,4,Asesórate con un experto financiero para dar el siguiente paso.
658,3150,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1724,2032,1,Revisa tus gastos mensuales y elimina los superfluos.
1741,2229,1,Revisa tus gastos mensuales y elimina los superfluos.
2976,1648,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1287,2778,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
478,1557,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2403,1676,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1211,1625,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2841,2350,3,Evalúa tus gastos anuales y ajusta si es necesario.
759,3486,0,Reducción urgente de gastos. Considera renegociar tus deudas.
296,661,1,Revisa tus gastos mensuales y elimina los superfluos.
1247,2455,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2407,2337,3,Considera aumentar tu fondo de emergencia.
2398,1868,4,Planea tu jubilación con tiempo.
1646,127,4,Invierte en educación financiera o cursos.
646,329,3,Considera aumentar tu fondo de emergencia.
714,851,1,Evita el uso frecuente de tarjetas de crédito.
2439,2375,3,"Sigue ahorrando, pero también revisa tus metas."
2677,767,4,Invierte en educación financiera o cursos.
1690,2647,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1875,1351,4,Planea tu jubilación con tiempo.
2909,2333,4,Diversifica tus inversiones: considera fondos o bienes raíces.
695,1703,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2625,3419,1,Reduce gastos en entretenimiento o delivery.
1631,3165,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2847,2826,3,Evalúa tus gastos anuales y ajusta si es necesario.
1083,1162,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2033,2995,0,Situación crítica. Elabora un presupuesto mensual estricto.
2282,592,4,Planea tu jubilación con tiempo.
1394,1941,1,Evita el uso frecuente de tarjetas de crédito.
247,2520,0,Busca ingresos extra como trabajos freelance o ventas.
533,2872,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2156,337,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
847,1609,1,Evita el uso frecuente de tarjetas de crédito.
2783,2675,3,Evalúa tus gastos anuales y ajusta si es necesario.
950,2179,0,Busca ingresos extra como trabajos freelance o ventas.
261,1247,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2423,1280,4,Asesórate con un experto financiero para dar el siguiente paso.
2167,396,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2093,853,4,Invierte en educación financiera o cursos.
2865,1872,4,Asesórate con un experto financiero para dar el siguiente paso.
1117,559,4,Planea tu jubilación con tiempo.
2357,2886,1,Reduce gastos en entretenimiento o delivery.
623,2819,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1433,2946,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1021,711,3,Analiza opciones de inversión de bajo riesgo.
637,231,3,Analiza opciones de inversión de bajo riesgo.
316,1962,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2407,1658,4,Asesórate con un experto financiero para dar el siguiente paso.
2112,2858,1,Evita el uso frecuente de tarjetas de crédito.
2355,1876,3,Evalúa tus gastos anuales y ajusta si es necesario.
1352,3358,0,Busca ingresos extra como trabajos freelance o ventas.
694,2982,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1582,2285,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
395,2333,0,Situación crítica. Elabora un presupuesto mensual estricto.
675,994,1,Revisa tus gastos mensuales y elimina los superfluos.
2769,3414,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2750,2228,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2306,2044,3,Considera aumentar tu fondo de emergencia.
839,1044,1,Pequeños ajustes pueden ayudarte a ahorrar más.
517,2372,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2765,1921,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1451,3454,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1182,511,4,Asesórate con un experto financiero para dar el siguiente paso.
478,822,1,Reduce gastos en entretenimiento o delivery.
1046,373,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1800,373,4,Planea tu jubilación con tiempo.
2652,2625,3,Considera aumentar tu fondo de emergencia.
1571,2211,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1344,2700,0,Busca ingresos extra como trabajos freelance o ventas.
1761,3353,0,Busca ingresos extra como trabajos freelance o ventas.
898,2493,0,Busca ingresos extra como trabajos freelance o ventas.
1525,1392,3,Considera aumentar tu fondo de emergencia.
251,2030,0,Busca ingresos extra como trabajos freelance o ventas.
2681,704,4,Asesórate con un experto financiero para dar el siguiente paso.
1395,1469,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2913,2240,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1364,658,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1721,2609,0,Situación crítica. Elabora un presupuesto mensual estricto.
822,1339,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1233,1720,1,Revisa tus gastos mensuales y elimina los superfluos.
936,1686,1,Reduce gastos en entretenimiento o delivery.
2750,456,4,Diversifica tus inversiones: considera fondos o bienes raíces.
943,425,4,Planea tu jubilación con tiempo.
2548,1413,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2861,727,4,Invierte en educación financiera o cursos.
1269,2967,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2280,197,4,Asesórate con un experto financiero para dar el siguiente paso.
1140,2332,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1397,1914,1,Evita el uso frecuente de tarjetas de crédito.
802,1129,1,Reduce gastos en entretenimiento o delivery.
2781,3475,1,Evita el uso frecuente de tarjetas de crédito.
2104,1685,3,Evalúa tus gastos anuales y ajusta si es necesario.
2960,525,4,Asesórate con un experto financiero para dar el siguiente paso.
2589,229,4,Invierte en educación financiera o cursos.
715,1472,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1894,1647,3,Considera aumentar tu fondo de emergencia.
1709,2535,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
332,1863,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
498,2232,0,Busca ingresos extra como trabajos freelance o ventas.
523,808,1,Pequeños ajustes pueden ayudarte a ahorrar más.
566,1826,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2569,3493,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
922,547,3,Evalúa tus gastos anuales y ajusta si es necesario.
1651,2829,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2007,1273,4,Asesórate con un experto financiero para dar el siguiente paso.
661,343,3,"Sigue ahorrando, pero también revisa tus metas."
2761,1568,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2200,2576,1,Revisa tus gastos mensuales y elimina los superfluos.
271,1579,0,Busca ingresos extra como trabajos freelance o ventas.
2194,3041,0,Situación crítica. Elabora un presupuesto mensual estricto.
974,1951,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1783,2858,0,Situación crítica. Elabora un presupuesto mensual estricto.
1457,1812,1,Revisa tus gastos mensuales y elimina los superfluos.
1241,124,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2452,2862,1,Reduce gastos en entretenimiento o delivery.
1469,2811,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1095,2869,0,Situación crítica. Elabora un presupuesto mensual estricto.
2029,926,4,Invierte en educación financiera o cursos.
427,1291,0,Busca ingresos extra como trabajos freelance o ventas.
987,806,3,Evalúa tus gastos anuales y ajusta si es necesario.
1612,2009,1,Revisa tus gastos mensuales y elimina los superfluos.
1509,1921,1,Reduce gastos en entretenimiento o delivery.
1074,679,3,Analiza opciones de inversión de bajo riesgo.
704,349,3,Evalúa tus gastos anuales y ajusta si es necesario.
1186,3337,0,Busca ingresos extra como trabajos freelance o ventas.
754,1681,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2672,216,4,Asesórate con un experto financiero para dar el siguiente paso.
1460,1444,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1542,983,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
881,1653,1,Revisa tus gastos mensuales y elimina los superfluos.
2293,2784,1,Revisa tus gastos mensuales y elimina los superfluos.
2755,1517,4,Invierte en educación financiera o cursos.
2395,2908,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2531,1840,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2383,3107,1,Reduce gastos en entretenimiento o delivery.
2290,2397,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1611,443,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2676,2835,1,Evita el uso frecuente de tarjetas de crédito.
753,797,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2938,2056,4,Planea tu jubilación con tiempo.
1726,1717,3,Evalúa tus gastos anuales y ajusta si es necesario.
2832,1301,4,Planea tu jubilación con tiempo.
317,2681,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2411,879,4,Asesórate con un experto financiero para dar el siguiente paso.
2458,2539,1,Pequeños ajustes pueden ayudarte a ahorrar más.
668,927,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1045,2411,0,Situación crítica. Elabora un presupuesto mensual estricto.
2327,968,4,Asesórate con un experto financiero para dar el siguiente paso.
748,3322,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
239,879,1,Reduce gastos en entretenimiento o delivery.
1987,3349,0,Reducción urgente de gastos. Considera renegociar tus deudas.
747,3397,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1898,2332,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1799,1995,1,Evita el uso frecuente de tarjetas de crédito.
2506,250,4,Planea tu jubilación con tiempo.
1937,2532,1,Evita el uso frecuente de tarjetas de crédito.
2809,2891,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2733,2759,1,Reduce gastos en entretenimiento o delivery.
749,2604,0,Busca ingresos extra como trabajos freelance o ventas.
2730,1349,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1080,296,4,Diversifica tus inversiones: considera fondos o bienes raíces.
574,243,3,"Sigue ahorrando, pero también revisa tus metas."
2764,1995,4,Planea tu jubilación con tiempo.
2389,2059,3,Evalúa tus gastos anuales y ajusta si es necesario.
1252,1078,3,Evalúa tus gastos anuales y ajusta si es necesario.
1207,423,4,Planea tu jubilación con tiempo.
953,1355,1,Evita el uso frecuente de tarjetas de crédito.
2122,1648,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1280,505,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2857,1748,4,Invierte en educación financiera o cursos.
320,390,1,Reduce gastos en entretenimiento o delivery.
1418,1750,1,Evita el uso frecuente de tarjetas de crédito.
1571,3398,0,Reducción urgente de gastos. Considera renegociar tus deudas.
502,3332,0,Busca ingresos extra como trabajos freelance o ventas.
258,563,1,Evita el uso frecuente de tarjetas de crédito.
2075,1473,4,Diversifica tus inversiones: considera fondos o bienes raíces.
218,2472,0,Situación crítica. Elabora un presupuesto mensual estricto.
455,2604,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1937,2240,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2480,1517,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2961,2655,3,Analiza opciones de inversión de bajo riesgo.
925,3056,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2795,1226,4,Asesórate con un experto financiero para dar el siguiente paso.
2970,3208,1,Evita el uso frecuente de tarjetas de crédito.
2977,189,4,Planea tu jubilación con tiempo.
2937,2072,4,Planea tu jubilación con tiempo.
1849,3437,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2263,1807,3,Analiza opciones de inversión de bajo riesgo.
258,2490,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2294,356,4,Invierte en educación financiera o cursos.
2910,1430,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1993,1764,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
782,2860,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1059,1148,1,Reduce gastos en entretenimiento o delivery.
2571,1873,4,Invierte en educación financiera o cursos.
1626,2093,1,Revisa tus gastos mensuales y elimina los superfluos.
2234,2418,1,Reduce gastos en entretenimiento o delivery.
820,1753,0,Situación crítica. Elabora un presupuesto mensual estricto.
2845,1667,4,Invierte en educación financiera o cursos.
2101,2148,1,Evita el uso frecuente de tarjetas de crédito.
2278,1479,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2352,1031,4,Asesórate con un experto financiero para dar el siguiente paso.
1211,643,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2867,1417,4,Diversifica tus inversiones: considera fondos o bienes raíces.
240,2867,0,Situación crítica. Elabora un presupuesto mensual estricto.
1190,2012,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2304,442,4,Invierte en educación financiera o cursos.
696,1999,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2040,3287,0,Situación crítica. Elabora un presupuesto mensual estricto.
1313,626,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1390,1871,1,Evita el uso frecuente de tarjetas de crédito.
1535,755,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2082,1866,3,Evalúa tus gastos anuales y ajusta si es necesario.
1558,1762,1,Pequeños ajustes pueden ayudarte a ahorrar más.
703,513,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1638,2163,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
942,1457,1,Reduce gastos en entretenimiento o delivery.
265,3275,0,Busca ingresos extra como trabajos freelance o ventas.
200,305,1,Evita el uso frecuente de tarjetas de crédito.
1079,1668,1,Reduce gastos en entretenimiento o delivery.
672,1018,1,Reduce gastos en entretenimiento o delivery.
2730,3096,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1513,2614,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1535,2563,0,Situación crítica. Elabora un presupuesto mensual estricto.
1359,1825,1,Reduce gastos en entretenimiento o delivery.
2481,350,4,Planea tu jubilación con tiempo.
2704,2346,3,Considera aumentar tu fondo de emergencia.
1112,248,4,Asesórate con un experto financiero para dar el siguiente paso.
2479,1690,4,Diversifica tus inversiones: considera fondos o bienes raíces.
830,1765,0,Busca ingresos extra como trabajos freelance o ventas.
2797,2400,3,Considera aumentar tu fondo de emergencia.
2356,3047,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1794,852,4,Planea tu jubilación con tiempo.
1923,2353,1,Reduce gastos en entretenimiento o delivery.
828,139,4,Invierte en educación financiera o cursos.
653,292,3,Considera aumentar tu fondo de emergencia.
1724,1362,3,Evalúa tus gastos anuales y ajusta si es necesario.
1526,427,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1918,2777,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2461,901,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2157,1025,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2419,576,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2079,612,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1009,3076,0,Busca ingresos extra como trabajos freelance o ventas.
2989,1697,4,Invierte en educación financiera o cursos.
617,3275,0,Busca ingresos extra como trabajos freelance o ventas.
509,2337,0,Reducción urgente de gastos. Considera renegociar tus deudas.
737,243,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1739,2335,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1367,784,4,Invierte en educación financiera o cursos.
1042,1354,1,Revisa tus gastos mensuales y elimina los superfluos.
1693,951,4,Invierte en educación financiera o cursos.
1844,178,4,Asesórate con un experto financiero para dar el siguiente paso.
1032,2044,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1528,1303,3,Considera aumentar tu fondo de emergencia.
1181,1703,1,Revisa tus gastos mensuales y elimina los superfluos.
2029,2391,1,Revisa tus gastos mensuales y elimina los superfluos.
724,2635,0,Situación crítica. Elabora un presupuesto mensual estricto.
1025,2424,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1134,3324,0,Reducción urgente de gastos. Considera renegociar tus deudas.
828,1655,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
321,1616,0,Situación crítica. Elabora un presupuesto mensual estricto.
756,1946,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2552,2060,3,"Sigue ahorrando, pero también revisa tus metas."
2741,2834,1,Evita el uso frecuente de tarjetas de crédito.
1972,325,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1827,1854,1,Evita el uso frecuente de tarjetas de crédito.
1497,1816,1,Revisa tus gastos mensuales y elimina los superfluos.
1259,2843,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
269,1912,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1228,2104,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
343,2319,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2175,3165,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1271,2840,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2568,2098,3,"Sigue ahorrando, pero también revisa tus metas."
553,102,3,Considera aumentar tu fondo de emergencia.
1778,2386,1,Revisa tus gastos mensuales y elimina los superfluos.
1442,2896,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1709,1267,3,Considera aumentar tu fondo de emergencia.
2491,3259,1,Pequeños ajustes pueden ayudarte a ahorrar más.
620,155,3,"Sigue ahorrando, pero también revisa tus metas."
736,3025,0,Situación crítica. Elabora un presupuesto mensual estricto.
1476,784,4,Planea tu jubilación con tiempo.
1520,567,4,Asesórate con un experto financiero para dar el siguiente paso.
1346,3184,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1918,2976,0,Busca ingresos extra como trabajos freelance o ventas.
2233,2602,1,Evita el uso frecuente de tarjetas de crédito.
1326,1365,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2203,280,4,Invierte en educación financiera o cursos.
1072,1666,1,Evita el uso frecuente de tarjetas de crédito.
2997,2938,3,Considera aumentar tu fondo de emergencia.
1541,1491,3,Evalúa tus gastos anuales y ajusta si es necesario.
898,3071,0,Busca ingresos extra como trabajos freelance o ventas.
2361,2020,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1852,1143,4,Asesórate con un experto financiero para dar el siguiente paso.
691,994,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
659,2688,0,Situación crítica. Elabora un presupuesto mensual estricto.
1421,784,4,Invierte en educación financiera o cursos.
2246,2016,3,Considera aumentar tu fondo de emergencia.
2433,1180,4,Asesórate con un experto financiero para dar el siguiente paso.
421,549,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1316,1747,1,Evita el uso frecuente de tarjetas de crédito.
2399,3124,1,Evita el uso frecuente de tarjetas de crédito.
376,1691,0,Busca ingresos extra como trabajos freelance o ventas.
2773,536,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2943,1869,4,Diversifica tus inversiones: considera fondos o bienes raíces.
441,2856,0,Situación crítica. Elabora un presupuesto mensual estricto.
448,270,3,Analiza opciones de inversión de bajo riesgo.
1775,3484,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1497,2586,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2681,622,4,Planea tu jubilación con tiempo.
1655,2999,0,Busca ingresos extra como trabajos freelance o ventas.
1742,759,4,Planea tu jubilación con tiempo.
1606,2201,1,Evita el uso frecuente de tarjetas de crédito.
2545,3024,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
933,1408,1,Reduce gastos en entretenimiento o delivery.
2516,1564,4,Planea tu jubilación con tiempo.
1631,1590,3,Evalúa tus gastos anuales y ajusta si es necesario.
2138,1729,3,Analiza opciones de inversión de bajo riesgo.
2433,1809,4,Invierte en educación financiera o cursos.
800,1034,1,Reduce gastos en entretenimiento o delivery.
2057,946,4,Asesórate con un experto financiero para dar el siguiente paso.
1020,2379,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1047,3351,0,Reducción urgente de gastos. Considera renegociar tus deudas.
204,2780,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1794,2845,0,Busca ingresos extra como trabajos freelance o ventas.
1240,2015,1,Reduce gastos en entretenimiento o delivery.
302,3274,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2316,1544,4,Diversifica tus inversiones: considera fondos o bienes raíces.
322,804,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1581,2829,0,Busca ingresos extra como trabajos freelance o ventas.
1225,352,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1417,164,4,Invierte en educación financiera o cursos.
947,1893,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
681,3329,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
961,2648,0,Reducción urgente de gastos. Considera renegociar tus deudas.
963,2090,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2311,1702,4,Invierte en educación financiera o cursos.
713,848,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2636,2744,1,Revisa tus gastos mensuales y elimina los superfluos.
2722,1745,4,Invierte en educación financiera o cursos.
919,1243,1,Revisa tus gastos mensuales y elimina los superfluos.
1452,162,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1279,3114,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2790,717,4,Invierte en educación financiera o cursos.
2058,3187,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2481,1521,4,Invierte en educación financiera o cursos.
380,546,1,Reduce gastos en entretenimiento o delivery.
2395,1608,4,Planea tu jubilación con tiempo.
1369,2982,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
241,2093,0,Busca ingresos extra como trabajos freelance o ventas.
567,1944,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2449,1482,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1240,136,4,Asesórate con un experto financiero para dar el siguiente paso.
1206,1226,1,Revisa tus gastos mensuales y elimina los superfluos.
880,2316,0,Situación crítica. Elabora un presupuesto mensual estricto.
2806,2697,3,"Sigue ahorrando, pero también revisa tus metas."
1792,151,4,Diversifica tus inversiones: considera fondos o bienes raíces.
524,2079,0,Busca ingresos extra como trabajos freelance o ventas.
2030,2128,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1224,581,4,Invierte en educación financiera o cursos.
788,382,3,Analiza opciones de inversión de bajo riesgo.
1019,1157,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2565,448,4,Asesórate con un experto financiero para dar el siguiente paso.
2267,3432,0,Busca ingresos extra como trabajos freelance o ventas.
905,397,4,Invierte en educación financiera o cursos.
543,1927,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2837,1685,4,Invierte en educación financiera o cursos.
1864,209,4,Asesórate con un experto financiero para dar el siguiente paso.
1719,2033,1,Pequeños ajustes pueden ayudarte a ahorrar más.
212,2537,0,Busca ingresos extra como trabajos freelance o ventas.
1021,615,3,Considera aumentar tu fondo de emergencia.
205,3107,0,Reducción urgente de gastos. Considera renegociar tus deudas.
611,2017,0,Situación crítica. Elabora un presupuesto mensual estricto.
241,2011,0,Busca ingresos extra como trabajos freelance o ventas.
1052,706,3,Considera aumentar tu fondo de emergencia.
1929,2932,0,Situación crítica. Elabora un presupuesto mensual estricto.
2161,2018,3,Considera aumentar tu fondo de emergencia.
1021,1607,1,Revisa tus gastos mensuales y elimina los superfluos.
1577,1347,3,Analiza opciones de inversión de bajo riesgo.
1788,2673,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
844,2529,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
312,2838,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1258,2221,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2986,2021,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2037,2848,0,Reducción urgente de gastos. Considera renegociar tus deudas.
475,1238,1,Pequeños ajustes pueden ayudarte a ahorrar más.
487,1639,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
903,2404,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
214,724,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
561,3228,0,Busca ingresos extra como trabajos freelance o ventas.
810,1003,1,Pequeños ajustes pueden ayudarte a ahorrar más.
646,1549,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2006,1122,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1847,2180,1,Reduce gastos en entretenimiento o delivery.
243,3205,0,Reducción urgente de gastos. Considera renegociar tus deudas.
711,234,3,Analiza opciones de inversión de bajo riesgo.
2596,2326,3,"Sigue ahorrando, pero también revisa tus metas."
1339,3077,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1238,3353,0,Busca ingresos extra como trabajos freelance o ventas.
441,2582,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2307,1767,4,Diversifica tus inversiones: considera fondos o bienes raíces.
878,933,1,Evita el uso frecuente de tarjetas de crédito.
2383,1231,4,Invierte en educación financiera o cursos.
1482,214,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1413,184,4,Asesórate con un experto financiero para dar el siguiente paso.
1375,2729,0,Situación crítica. Elabora un presupuesto mensual estricto.
2826,512,4,Diversifica tus inversiones: considera fondos o bienes raíces.
880,2110,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2227,3195,0,Situación crítica. Elabora un presupuesto mensual estricto.
914,1120,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1436,1960,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2702,2516,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2070,1964,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2085,1968,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2217,1601,4,Planea tu jubilación con tiempo.
887,1306,1,Reduce gastos en entretenimiento o delivery.
361,2344,0,Situación crítica. Elabora un presupuesto mensual estricto.
482,1420,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2793,1884,4,Invierte en educación financiera o cursos.
559,1803,0,Reducción urgente de gastos. Considera renegociar tus deudas.
667,2833,0,Busca ingresos extra como trabajos freelance o ventas.
572,2537,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2012,1738,3,Analiza opciones de inversión de bajo riesgo.
1952,1691,3,"Sigue ahorrando, pero también revisa tus metas."
1572,1298,3,Analiza opciones de inversión de bajo riesgo.
1860,1556,3,Considera aumentar tu fondo de emergencia.
2136,3239,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1695,768,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1932,3282,0,Situación crítica. Elabora un presupuesto mensual estricto.
2730,3306,1,Evita el uso frecuente de tarjetas de crédito.
2400,894,4,Invierte en educación financiera o cursos.
2130,2473,1,Revisa tus gastos mensuales y elimina los superfluos.
826,2953,0,Situación crítica. Elabora un presupuesto mensual estricto.
1457,2000,1,Pequeños ajustes pueden ayudarte a ahorrar más.
565,1601,0,Situación crítica. Elabora un presupuesto mensual estricto.
1316,1144,3,Evalúa tus gastos anuales y ajusta si es necesario.
1039,2151,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2601,484,4,Invierte en educación financiera o cursos.
273,909,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1587,3087,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
